Level,Hierarchical structure,Code,Class title,Class definition
1,Division,RDS101,Exploration and exploitation of the earth,"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to the exploration of the Earth's crust and mantle, seas, oceans and atmosphere, as well as for R&D activities on their exploitation. It also includes climatic and meteorological research, polar exploration and hydrology. It does not include R&D activities related to soil improvement (objective 4 or RDS104), land use or fishing (objective 8 or RDS108), or pollution (objective 2 or RDS102)."
2,Group,RDS10101,Mineral exploration,"This group covers research and experimental development (R&D) activities directed towards exploration for minerals, other than energy mineral resources. It includes precious and semi-precious stones and mineral sands."
2,Group,RDS10102,Energy resources exploration,This group covers research and experimental development (R&D) activities directed towards exploration for energy mineral and geothermal energy resources. It does not include the mining and extraction of energy mineral resource.
2,Group,RDS10103,Atmosphere and weather,This group covers research and experimental development (R&D) activities directed towards understanding the dynamics of atmospheric and weather systems.
2,Group,RDS10104,Climate and climate change,"This group covers research and experimental development (R&D) activities directed towards climate and climate change. For the purpose of the classification, climate refers to the long-term average condition of the weather in a given area."
2,Group,RDS10105,Water and hydrology,This group covers research and experimental development (R&D) activities directed towards the physical and chemical conditions of water in various environments.
2,Group,RDS10199,"Exploration and exploitation of the earth, n.e.c.","This group covers research and experimental development (R&D) activities directed towards issues related to the exploration and exploitation of the earth not elsewhere classified, including advancement of knowledge in these areas."
1,Division,RDS102,Environmental protection,"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to improving the control of pollution, including the identification and analysis of the sources of pollution and their causes, and all pollutants, including their dispersal in the environment and the effects on humans, species (fauna, flora, micro-organisms) and the biosphere. The development of monitoring facilities for the measurement of all kinds of pollution is included, as are R&D activities for the elimination and prevention of all forms of pollution in all types of environment."
2,Group,RDS10201,Environmentally sustainable human activities,"This group covers research and experimental development (R&D) activities directed towards environmentally sustainable production of plants and plant primary products; animals and animal primary products; exploration, mining, extraction, and processing of mineral resources; manufactured materials; construction and building activities; transport activities; and, information and communication service activities by minimising the generation of emissions and waste and by reducing or optimising the consumption of water and other natural resources."
2,Group,RDS10202,Water provision and waste services,This group covers research and experimental development (R&D) activities directed towards the development and provision of water and waste services and utilities to households and industrial and commercial premises.
2,Group,RDS10203,Air quality,This group covers research and experimental development (R&D) activities directed towards the understanding and improvement of air quality in various environments.
2,Group,RDS10204,"Control of pests, diseases and exotic species","This group covers research and experimental development (R&D) activities directed towards the control of pests, diseases and exotic species in various natural and man-made environments. It includes quarantine and control measures within, at or outside national borders."
2,Group,RDS10205,Control and care of the environment,"This group covers research and experimental development (R&D) activities directed towards assessment and management of various ecosystems; environmental and natural resources; and, finding appropriate ways to nurture and rehabilitate seriously degraded environments back to original condition or to an improved state. This group also covers R&D directed towards an understanding of natural hazards (such as bushfire, cyclones and storms, earthquakes, landslides, tsunamis and volcanic eruptions), their impact on lives, property and environments and the development of warning systems and control measures to minimise impacts from these hazards."
2,Group,RDS10299,"Environment protection, n.e.c.","This group covers research and experimental development (R&D) activities directed towards environmental issues, not elsewhere classified, including advancement of knowledge in this area."
1,Division,RDS103,Exploration and exploitation of space,"This division is a socioeconomic objective which covers all civil space research and experimental development (R&D) activities with objectives related to the R&D in exploration of space, space laboratories, space travel and launch systems. Although civil space R&D activities are not always concerned with particular objectives, they frequently have a specific goal, such as the advancement of knowledge (e.g. astronomy) or relate to particular applications (e.g. telecommunications satellites or earth observation). This objective does not include corresponding R&D activities for defence purposes."
2,Group,RDS10301,Scientific exploration of space,"This group covers research and experimental development (R&D) activities directed towards improving the scientific exploration of space, including robotic exploration of the solar system, and advanced exploration development."
2,Group,RDS10302,Celestial objects and phenomena,"This group covers research and experimental development (R&D) activities directed towards an understanding of celestial objects and phenomena, including space telescopes and space astronomy."
2,Group,RDS10303,Space launch systems,"This group covers research and experimental development (R&D) activities directed towards improving launch systems for space. It includes launch preparations and operations, launchers, and launching complexes."
2,Group,RDS10304,Space laboratories and space travel,"This group covers research and experimental development (R&D) activities directed towards improving space laboratories and space travel. It includes conventional electronic test laboratories and hardware, spacecraft integration and testing, control rooms, clean rooms, and human space flight."
2,Group,RDS10305,Terraforming,"This group covers research and experimental development (R&D) activities directed towards an understanding of terraforming, and systems capable of supporting terrestrial life forms, including the effects of space on living things, and how life adapts to the space environment."
2,Group,RDS10399,"Exploration and exploitation of space, n.e.c.","This group covers research and experimental development (R&D) activities directed towards issues related to the exploration and exploitation of space not elsewhere classified, including advancement of knowledge in these areas."
1,Division,RDS104,"Transport, telecommunication and other infrastructures (including buildings)","This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to infrastructure, including e-infrastructures, land development, and the construction of buildings. More generally, this objective covers all R&D activities relating to the general planning of land use. This objective includes R&D activities into protection against harmful effects in town and country planning but not the research into other types of pollution (objective 2 or RDS102). This objective also includes R&D activities related to transport systems; telecommunication systems; network systems and services, including network security; mobile technologies; general planning of land use; the construction and planning of buildings; civil engineering; and water supply."
2,Group,RDS10401,Construction planning,This group covers research and experimental development (R&D) activities directed towards improving the activities associated with the development of construction projects to the sketch plan stage.
2,Group,RDS10402,Construction design,This group covers research and experimental development (R&D) activities directed towards improving the activities associated with turning a project sketch plan into detailed architectural and engineering designs and specifications.
2,Group,RDS10403,Construction materials performance,"This group covers research and experimental development (R&D) activities directed towards testing the performance, durability and life cycle of construction components and materials which are delivered to or assembled on construction sites."
2,Group,RDS10404,Construction processes,This group covers research and experimental development (R&D) activities directed towards improving the processes and activities associated with translating plans and specifications into finished buildings and structures.
2,Group,RDS10405,Transport systems,"This group covers research and experimental development (R&D) activities directed towards improving the efficiency, safety and utility of ground, sea, rail and air transport. It also covers R&D directed towards improving the efficiency, safety and utility of deep space transport."
2,Group,RDS10406,"Communication technologies, systems and services","This group covers research and experimental development (R&D) activities directed towards fixed line, mobile and satellite communication networks and services. It includes videoconference services."
2,Group,RDS10407,Land and water management,"This group covers research and experimental development (R&D) activities directed towards land associated with water management in various natural environments and ecosystems. It includes urban and industrial land and water management issues, and the allocation of water for agricultural production."
2,Group,RDS10499,"Transport, telecommunication and other infrastructures (including buildings), n.e.c.","This group covers research and experimental development (R&D) activities directed towards transport, construction, telecommunication and other infrastructures activities not elsewhere classified, including advancement of knowledge in these areas."
1,Division,RDS105,Energy (except prospecting),"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to improve the production, storage, transportation, distribution and rational use of all forms of energy. This objective also includes R&D activities on processes designed to increase the efficiency of energy production and distribution, and the study of energy conservation. It does not include R&D activities related to prospecting (objective 1 or RDS101) or R&D activities into vehicle and engine propulsion (objective 6 or RDS106)."
2,Group,RDS10501,Mining and extraction of energy resources,"This group covers research and experimental development (R&D) activities directed towards mining and extracting energy mineral resources, as well as the extraction of geothermal energy."
2,Group,RDS10502,Preparation and production of energy sources,"This group covers research and experimental development (R&D) activities directed towards the preparation and supply of energy resources, including the production of hydrogen from other energy sources and biofuel production."
2,Group,RDS10503,Energy transformation,"This group covers research and experimental development (R&D) activities directed towards the transformation of energy resource minerals into heat, steam or electricity; and the conversion of coal, natural gas, oil shale and tar sands to liquid fuels. It includes hydrogen-based energy systems and fuel cells."
2,Group,RDS10504,Renewable energy,"This group covers research and experimental development (R&D) activities directed towards the conversion of renewable energy resources into heat, steam or electricity, and improving the generation and supply of renewable energy."
2,Group,RDS10505,Energy storage and distribution,This group covers research and experimental development (R&D) activities directed towards improving energy distribution including electricity and gas transmission and distribution.
2,Group,RDS10506,Energy conservation and efficiency,"This group covers research and experimental development (R&D) activities directed towards the conservation and efficient use of energy in industry, transport, commerce and households. It includes energy used in forms such as petroleum products, electricity, gas, coke and briquettes and in the form of heat energy."
2,Group,RDS10599,"Energy (except prospecting), n.e.c.","This group covers research and experimental development (R&D) activities directed towards energy activities not elsewhere classified, including advancement of knowledge in this area."
1,Division,RDS106,Industrial production and technology,"This division is a socioeconomic objective which covers research and experimental development (R&D) activities with objectives related to improve the industrial production, technology and industrial services, including R&D activities on industrial products and their manufacturing processes, except where they form an integral part of the pursuit of other objectives, e.g., defence (Objective 12 or RDS112), space (Objective 3 or RDS103), energy (Objective 5 or RDS105) or agriculture (Objective 8 or RDS108). This division also includes computer systems and security, information systems, human-computer interactions, artificial intelligence systems, and machine learning."
2,Group,RDS10601,Industrial processes related to mineral resource,"This group covers research and experimental development (R&D) activities directed towards processing, mining and extracting minerals, other than energy mineral resources. It includes precious and semi-precious stones and mineral sands. This group also covers R&D directed towards the manufacture of ceramics, glass and glass products and industrial mineral products, including clay, cement and concrete products. It includes R&D directed towards the manufacture of plaster and non-metallic mineral products. This group also covers R&D directed towards the processing of wood, and the manufacture of wood products, paper and paper products."
2,Group,RDS10602,"Industrial processes related to agricultural products (except wood, paper and fiber)","This group covers research and experimental development (R&D) activities directed towards the manufacture of processed food and beverage products. It includes, among others, products derived from animal milk, carcass meat, nutraceuticals and functional foods."
2,Group,RDS10603,"Leather products, fibre processing and textiles",This group covers research and experimental development (R&D) activities directed towards the production of leather and textile products and fibre processing.
2,Group,RDS10604,"Wood, wood products and paper","This group covers research and experimental development (R&D) activities directed towards the processing of wood, and the manufacture of wood products, paper and paper products."
2,Group,RDS10605,Agricultural and industrial chemicals,"This group covers research and experimental development (R&D) activities directed towards the manufacture of industrial chemicals and related products, including those derived from oil and gas refining; and, chemical fertilisers and chemicals for the protection of crops and livestock. It excludes veterinary pharmaceutical products."
2,Group,RDS10606,Veterinary pharmaceutical products,"This group covers research and experimental development (R&D) activities directed towards the manufacture of pharmaceutical products used in the prevention, diagnosis and treatment of veterinary diseases."
2,Group,RDS10607,Transport equipment,"This group covers research and experimental development (R&D) activities directed towards the manufacture and repair of transport equipment, including their components."
