test_id,module,stage,reviewer,action,actor,has_minimal_review,label,state_id,result_module,result_stage,result_reviewer,initial_legacy_status,result_legacy_status,initial_legacy_eg,result_legacy_eg,error
1,triage,in_progress,none,event_claim,admin,yes,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
2,triage,in_progress,none,event_claim,admin,no,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
3,triage,in_progress,none,event_claim,unassigned_triage,yes,none,1.1,triage,minimal_review,assigned,pending,in progress,Triage,Triage,no
4,triage,in_progress,none,event_claim,unassigned_triage,no,none,1.1,triage,in_progress,assigned,pending,in progress,Triage,Triage,no
5,triage,in_progress,none,event_claim,unassigned_non_triage,yes,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
6,triage,in_progress,none,event_claim,unassigned_non_triage,no,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
7,triage,in_progress,none,event_assign_triage,admin,yes,none,1.1,triage,minimal_review,assigned,pending,in progress,Triage,Triage,no
8,triage,in_progress,none,event_assign_triage,admin,no,none,1.1,triage,in_progress,assigned,pending,in progress,Triage,Triage,no
9,triage,in_progress,none,event_assign_triage,unassigned_triage,yes,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
10,triage,in_progress,none,event_assign_triage,unassigned_triage,no,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
11,triage,in_progress,none,event_assign_triage,unassigned_non_triage,yes,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
12,triage,in_progress,none,event_assign_triage,unassigned_non_triage,no,none,1.1,triage,,assigned,pending,in progress,Triage,Triage,AuthoriseException
13,triage,in_progress,none,event_assign_non_triage,admin,yes,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
14,triage,in_progress,none,event_assign_non_triage,admin,no,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
15,triage,in_progress,none,event_assign_non_triage,unassigned_triage,yes,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
16,triage,in_progress,none,event_assign_non_triage,unassigned_triage,no,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
17,triage,in_progress,none,event_assign_non_triage,unassigned_non_triage,yes,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
18,triage,in_progress,none,event_assign_non_triage,unassigned_non_triage,no,none,1.1,triage,,,pending,,Triage,Triage,AuthoriseException
19,triage,in_progress,triage,action_edit,assigned_triage,yes,none,1.2,triage,,,in progress,in progress,Triage,Triage,no
20,triage,in_progress,triage,action_edit,assigned_triage,no,none,1.2,triage,,,in progress,in progress,Triage,Triage,no
21,triage,in_progress,triage,action_edit,admin,yes,none,1.2,triage,,,in progress,in progress,Triage,Triage,no
22,triage,in_progress,triage,action_edit,admin,no,none,1.2,triage,,,in progress,in progress,Triage,Triage,no
23,triage,in_progress,triage,action_edit,unassigned_triage,yes,none,1.2,triage,,,in progress,in progress,Triage,Triage,AuthoriseException
24,triage,in_progress,triage,action_edit,unassigned_triage,no,none,1.2,triage,,,in progress,in progress,Triage,Triage,AuthoriseException
25,triage,in_progress,triage,action_edit,unassigned_non_triage,yes,none,1.2,triage,,,in progress,in progress,Triage,Triage,AuthoriseException
26,triage,in_progress,triage,action_edit,unassigned_non_triage,no,none,1.2,triage,,,in progress,in progress,Triage,Triage,AuthoriseException
27,triage,in_progress,triage,event_unclaim,assigned_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,no
28,triage,in_progress,triage,event_unclaim,assigned_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,no
29,triage,in_progress,triage,event_unclaim,admin,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
30,triage,in_progress,triage,event_unclaim,admin,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
31,triage,in_progress,triage,event_unclaim,unassigned_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
32,triage,in_progress,triage,event_unclaim,unassigned_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
33,triage,in_progress,triage,event_unclaim,unassigned_non_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
34,triage,in_progress,triage,event_unclaim,unassigned_non_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
35,triage,in_progress,triage,event_unassign,assigned_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
36,triage,in_progress,triage,event_unassign,assigned_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
37,triage,in_progress,triage,event_unassign,admin,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,no
38,triage,in_progress,triage,event_unassign,admin,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,no
39,triage,in_progress,triage,event_unassign,unassigned_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
40,triage,in_progress,triage,event_unassign,unassigned_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
41,triage,in_progress,triage,event_unassign,unassigned_non_triage,yes,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
42,triage,in_progress,triage,event_unassign,unassigned_non_triage,no,none,1.2,triage,,none,in progress,pending,Triage,Triage,AuthoriseException
43,triage,in_progress,triage,event_reassign_triage,assigned_triage,yes,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
44,triage,in_progress,triage,event_reassign_triage,assigned_triage,no,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
45,triage,in_progress,triage,event_reassign_triage,admin,yes,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,no
46,triage,in_progress,triage,event_reassign_triage,admin,no,none,1.2,triage,in_progress,assigned,in progress,in progress,Triage,Triage,no
47,triage,in_progress,triage,event_reassign_triage,unassigned_triage,yes,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
48,triage,in_progress,triage,event_reassign_triage,unassigned_triage,no,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
49,triage,in_progress,triage,event_reassign_triage,unassigned_non_triage,yes,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
50,triage,in_progress,triage,event_reassign_triage,unassigned_non_triage,no,none,1.2,triage,,assigned,in progress,in progress,Triage,Triage,AuthoriseException
51,triage,in_progress,triage,event_reassign_non_triage,assigned_triage,yes,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
52,triage,in_progress,triage,event_reassign_non_triage,assigned_triage,no,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
53,triage,in_progress,triage,event_reassign_non_triage,admin,yes,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
54,triage,in_progress,triage,event_reassign_non_triage,admin,no,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
55,triage,in_progress,triage,event_reassign_non_triage,unassigned_triage,yes,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
56,triage,in_progress,triage,event_reassign_non_triage,unassigned_triage,no,none,1.2,triage,,,in progress,,Triage,Triage,AuthoriseException
