location,fuzzy,msgid,msgstr
forms/application_forms.py:89,No,Does the journal adhere to DOAJ’s definition of open access?,La revue adhère-t-elle à la définition de DOAJ du libre accès?
forms/application_forms.py:92; forms/application_forms.py:788; forms/application_forms.py:836; forms/application_forms.py:996; forms/application_forms.py:1112; forms/application_forms.py:1240; forms/application_forms.py:1291,No,Yes,Oui
forms/application_forms.py:93; forms/application_forms.py:789; forms/application_forms.py:837; forms/application_forms.py:997; forms/application_forms.py:1113; forms/application_forms.py:1241; forms/application_forms.py:1292,No,No,Non
forms/application_forms.py:96,No,See <a href='https://blog.doaj.org/2020/11/17/what-does-doaj-define-as-open-access/' target='_blank' rel='noopener'>DOAJ’s definition of open access explained in full</a>.,Voir <a href='https://blog.doaj.org/2020/11/17/what-does-doaj-define-as-open-access/' target='_blank' rel='noopener'>la définition du libre accès tel que défini par DOAJ</a>.
forms/application_forms.py:101,No,You must answer 'Yes',Vous devez répondre 'Oui'
forms/application_forms.py:104,No,You must answer <strong>Yes</strong> to continue,Vous devez répondre <strong>Oui</strong> pour poursuivre
forms/application_forms.py:125,No,The journal website must display its open access statement. Where can we find this information?,La revue doit afficher une déclaration en matière de libre accès. Où se trouve-t-elle?
forms/application_forms.py:128,No,"Here is an example of a suitable Open Access statement that meets our criteria: <blockquote>This is an open access journal, which means that all content is freely available without charge to the user or his/her institution. Users are allowed to read, download, copy, distribute, print, search, or link to the full texts of the articles, or use them for any other lawful purpose, without asking prior permission from the publisher or the author. This is in accordance with the BOAI definition of open access.</blockquote>","Voici un exemple de déclaration en matière de libre accès répondant à nos critères : <blockquote>Cette revue est en libre accès, ce qui signifie que tout le contenu est librement accessible, sans frais pour toute personne ou institution. Toute personne est autorisée à lire, télécharger, copier, transmettre, imprimer, chercher ou faire un lien vers le texte intégral de ces articles, ou s’en servir à toute autre fin légale, sans avoir à demander l'autorisation préalable de l'éditeur ou de l'auteur·trice. Ceci est conforme à la définition du libre accès de la BOAI.</blockquote>"
forms/application_forms.py:139,No,Link to the journal’s open access statement,Lien vers la déclaration de libre accès de la revue
forms/application_forms.py:143,No,Enter the URL for the journal’s Open Access statement page,Saisissez l'URL où se trouve la déclaration en matière de libre accès de la revue.
forms/application_forms.py:158; forms/application_forms.py:165,No,Journal title,Titre de la revue
forms/application_forms.py:161,No,The journal title must match what is displayed on the website and what is registered at the <a href='https://portal.issn.org/' target='_blank' rel='noopener'> ISSN Portal</a>.,Le titre de la revue doit être le même que celui figurant sur son site web et celui inscrit à <a href='https://portal.issn.org/' target='_blank' rel='noopener'>portal.issn.org</a>.
forms/application_forms.py:163,No,"For translated titles, you may add the translation as an alternative title.","Pour les titres traduits, vous pouvez ajouter la traduction en tant que titre alternatif."
forms/application_forms.py:166,No,"Title in application form, title at ISSN and website must all match","Les titres dans le formulaire, sur le site web et dans le Portail ISSN doivent tous correspondre"
forms/application_forms.py:169,No,Enter the journal’s name,Saisissez le titre de la revue
forms/application_forms.py:206,No,Alternative title (including translation of the title),Titre alternatif (incluant la traduction du titre) (optionnel)
forms/application_forms.py:248,No,Link to the journal’s homepage,Lien vers la page d’accueil de la revue
forms/application_forms.py:264,No,Enter the URL for the journal’s <strong>homepage</strong>,Indiquez l'URL de la <strong>page d'accueil</strong> de la revue
forms/application_forms.py:275,No,ISSN (print),ISSN (imprimé)
forms/application_forms.py:278; forms/application_forms.py:311; forms/application_forms.py:326; forms/application_forms.py:336; forms/application_forms.py:355; forms/application_forms.py:389; forms/application_forms.py:404; forms/application_forms.py:414,No,"Must be a valid ISSN, fully registered and confirmed at the <a href='https://portal.issn.org/' target='_blank' rel='noopener'> ISSN Portal</a>.","Doit être un ISSN valide, enregistré et confirmé sur <a href='https://portal.issn.org/.' target='_blank' rel='noopener'>le Portail ISSN</a>: "
forms/application_forms.py:280; forms/application_forms.py:357,No,Use the link under the ISSN you provided to check it.,Utilisez le lien sous l'ISSN que vous avez fourni pour le vérifier.
