test_id,application_type,manual_update,app_key_properties,current_journal,raises
1,none,none,n/a,n/a,ArgumentException
2,none,true,n/a,n/a,ArgumentException
3,none,false,n/a,n/a,ArgumentException
4,present,none,yes,none,ArgumentException
5,present,none,yes,missing,ArgumentException
6,present,none,yes,present,ArgumentException
7,present,none,no,none,ArgumentException
8,present,none,no,missing,ArgumentException
9,present,none,no,present,ArgumentException
10,present,none,yes,none,ArgumentException
11,present,none,yes,missing,ArgumentException
12,present,none,yes,present,ArgumentException
13,present,none,no,none,ArgumentException
14,present,none,no,missing,ArgumentException
15,present,none,no,present,ArgumentException
16,present,true,yes,none,
17,present,true,yes,missing,
18,present,true,yes,present,
19,present,true,no,none,
20,present,true,no,missing,
21,present,true,no,present,
22,present,true,yes,none,
23,present,true,yes,missing,
24,present,true,yes,present,
25,present,true,no,none,
26,present,true,no,missing,
27,present,true,no,present,
28,present,false,yes,none,
29,present,false,yes,missing,
30,present,false,yes,present,
31,present,false,no,none,
32,present,false,no,missing,
33,present,false,no,present,
34,present,false,yes,none,
35,present,false,yes,missing,
36,present,false,yes,present,
37,present,false,no,none,
38,present,false,no,missing,
39,present,false,no,present,
