test_id,application,account,manual_update,provenance,raises,result_provenance,result_manual_update
1,none,none,none,none,ArgumentException,,
2,none,none,none,true,ArgumentException,,
3,none,none,none,false,ArgumentException,,
4,none,none,true,none,ArgumentException,,
5,none,none,true,true,ArgumentException,,
6,none,none,true,false,ArgumentException,,
7,none,none,false,none,ArgumentException,,
8,none,none,false,true,ArgumentException,,
9,none,none,false,false,ArgumentException,,
10,none,allowed,none,none,ArgumentException,,
11,none,allowed,none,true,ArgumentException,,
12,none,allowed,none,false,ArgumentException,,
13,none,allowed,true,none,ArgumentException,,
14,none,allowed,true,true,ArgumentException,,
15,none,allowed,true,false,ArgumentException,,
16,none,allowed,false,none,ArgumentException,,
17,none,allowed,false,true,ArgumentException,,
18,none,allowed,false,false,ArgumentException,,
19,none,not_allowed,none,none,ArgumentException,,
20,none,not_allowed,none,true,ArgumentException,,
21,none,not_allowed,none,false,ArgumentException,,
22,none,not_allowed,true,none,ArgumentException,,
23,none,not_allowed,true,true,ArgumentException,,
24,none,not_allowed,true,false,ArgumentException,,
25,none,not_allowed,false,none,ArgumentException,,
26,none,not_allowed,false,true,ArgumentException,,
27,none,not_allowed,false,false,ArgumentException,,
28,save_fail,none,none,none,ArgumentException,,
29,save_fail,none,none,true,ArgumentException,,
30,save_fail,none,none,false,ArgumentException,,
31,save_fail,none,true,none,ArgumentException,,
32,save_fail,none,true,true,ArgumentException,,
33,save_fail,none,true,false,ArgumentException,,
34,save_fail,none,false,none,ArgumentException,,
35,save_fail,none,false,true,ArgumentException,,
36,save_fail,none,false,false,ArgumentException,,
37,save_fail,allowed,none,none,ArgumentException,,
38,save_fail,allowed,none,true,ArgumentException,,
39,save_fail,allowed,none,false,ArgumentException,,
40,save_fail,allowed,true,none,ArgumentException,,
41,save_fail,allowed,true,true,SaveException,,
42,save_fail,allowed,true,false,SaveException,,
43,save_fail,allowed,false,none,ArgumentException,,
44,save_fail,allowed,false,true,SaveException,,
45,save_fail,allowed,false,false,SaveException,,
46,save_fail,not_allowed,none,none,ArgumentException,,
47,save_fail,not_allowed,none,true,ArgumentException,,
48,save_fail,not_allowed,none,false,ArgumentException,,
49,save_fail,not_allowed,true,none,ArgumentException,,
50,save_fail,not_allowed,true,true,AuthoriseException,,
51,save_fail,not_allowed,true,false,AuthoriseException,,
52,save_fail,not_allowed,false,none,ArgumentException,,
53,save_fail,not_allowed,false,true,AuthoriseException,,
54,save_fail,not_allowed,false,false,AuthoriseException,,
55,with_current_journal,none,none,none,ArgumentException,,
56,with_current_journal,none,none,true,ArgumentException,,
57,with_current_journal,none,none,false,ArgumentException,,
58,with_current_journal,none,true,none,ArgumentException,,
59,with_current_journal,none,true,true,ArgumentException,,
60,with_current_journal,none,true,false,ArgumentException,,
61,with_current_journal,none,false,none,ArgumentException,,
62,with_current_journal,none,false,true,ArgumentException,,
63,with_current_journal,none,false,false,ArgumentException,,
64,with_current_journal,allowed,none,none,ArgumentException,,
65,with_current_journal,allowed,none,true,ArgumentException,,
66,with_current_journal,allowed,none,false,ArgumentException,,
67,with_current_journal,allowed,true,none,ArgumentException,,
68,with_current_journal,allowed,true,true,,yes,yes
69,with_current_journal,allowed,true,false,,no,yes
70,with_current_journal,allowed,false,none,ArgumentException,,
71,with_current_journal,allowed,false,true,,yes,no
72,with_current_journal,allowed,false,false,,no,no
73,with_current_journal,not_allowed,none,none,ArgumentException,,
74,with_current_journal,not_allowed,none,true,ArgumentException,,
75,with_current_journal,not_allowed,none,false,ArgumentException,,
76,with_current_journal,not_allowed,true,none,ArgumentException,,
77,with_current_journal,not_allowed,true,true,AuthoriseException,,
78,with_current_journal,not_allowed,true,false,AuthoriseException,,
79,with_current_journal,not_allowed,false,none,ArgumentException,,
80,with_current_journal,not_allowed,false,true,AuthoriseException,,
81,with_current_journal,not_allowed,false,false,AuthoriseException,,
82,no_current_journal,none,none,none,ArgumentException,,
83,no_current_journal,none,none,true,ArgumentException,,
84,no_current_journal,none,none,false,ArgumentException,,
85,no_current_journal,none,true,none,ArgumentException,,
86,no_current_journal,none,true,true,ArgumentException,,
87,no_current_journal,none,true,false,ArgumentException,,
88,no_current_journal,none,false,none,ArgumentException,,
89,no_current_journal,none,false,true,ArgumentException,,
90,no_current_journal,none,false,false,ArgumentException,,
91,no_current_journal,allowed,none,none,ArgumentException,,
92,no_current_journal,allowed,none,true,ArgumentException,,
93,no_current_journal,allowed,none,false,ArgumentException,,
94,no_current_journal,allowed,true,none,ArgumentException,,
95,no_current_journal,allowed,true,true,,yes,yes
96,no_current_journal,allowed,true,false,,no,yes
97,no_current_journal,allowed,false,none,ArgumentException,,
98,no_current_journal,allowed,false,true,,yes,no
99,no_current_journal,allowed,false,false,,no,no
100,no_current_journal,not_allowed,none,none,ArgumentException,,
101,no_current_journal,not_allowed,none,true,ArgumentException,,
102,no_current_journal,not_allowed,none,false,ArgumentException,,
103,no_current_journal,not_allowed,true,none,ArgumentException,,
104,no_current_journal,not_allowed,true,true,AuthoriseException,,
105,no_current_journal,not_allowed,true,false,AuthoriseException,,
106,no_current_journal,not_allowed,false,none,ArgumentException,,
107,no_current_journal,not_allowed,false,true,AuthoriseException,,
108,no_current_journal,not_allowed,false,false,AuthoriseException,,
