location,fuzzy,msgid,msgstr
forms/application_forms.py:88,No,Does the journal adhere to DOAJ’s definition of open access?,La revue adhère-t-elle à la définition de DOAJ du libre accès?
forms/application_forms.py:91; forms/application_forms.py:817; forms/application_forms.py:867; forms/application_forms.py:1031; forms/application_forms.py:1155; forms/application_forms.py:1285; forms/application_forms.py:1338,No,Yes,Oui
forms/application_forms.py:92; forms/application_forms.py:818; forms/application_forms.py:868; forms/application_forms.py:1032; forms/application_forms.py:1156; forms/application_forms.py:1286; forms/application_forms.py:1339,No,No,Non
forms/application_forms.py:95,No,See %(link_start)sDOAJ’s definition of open access explained in full%(link_end)s.,
forms/application_forms.py:100,No,You must answer 'Yes',Vous devez répondre 'Oui'
forms/application_forms.py:103,No,You must answer%(tag_start)s Yes%(tag_end)s to continue,Vous devez répondre%(tag_start)s Oui%(tag_end)s pour poursuivre
forms/application_forms.py:125,No,The journal website must display its open access statement. Where can we find this information?,La revue doit afficher une déclaration en matière de libre accès. Où se trouve-t-elle? 
forms/application_forms.py:128,No,"Here is an example of a suitable Open Access statement that meets our criteria:%(tag_start)s This is an open access journal, which means that all content is freely available without charge to the user or his/her institution. Users are allowed to read, download, copy, distribute, print, search, or link to the full texts of the articles, or use them for any other lawful purpose, without asking prior permission from the publisher or the author. This is in accordance with the BOAI definition of open access.%(tag_end)s","Voici un exemple de déclaration en matière de libre accès répondant à nos critères :%(tag_start)s Cette revue est en libre accès, ce qui signifie que tout le contenu est librement accessible, sans frais pour toute personne ou institution. Toute personne est autorisée à lire, télécharger, copier, transmettre, imprimer, chercher ou faire un lien vers le texte intégral de ces articles, ou s’en servir à toute autre fin légale, sans avoir à demander l'autorisation préalable de l'éditeur ou de l'auteur·trice. Ceci est conforme à la définition du libre accès de la BOAI.%(tag_end)s"
forms/application_forms.py:140,No,Link to the journal’s open access statement,Lien vers la déclaration de libre accès de la revue
forms/application_forms.py:144,No,Enter the URL for the journal’s Open Access statement page,Saisissez l'URL où se trouve la déclaration en matière de libre accès de la revue.
forms/application_forms.py:159; forms/application_forms.py:168,No,Journal title,
forms/application_forms.py:162,No,The journal title must match what is displayed on the website and what is registered at the %(link_start)s ISSN Portal%(link_end)s.,
forms/application_forms.py:166,No,"For translated titles, you may add the translation as an alternative title.",
forms/application_forms.py:169,No,"Title in application form, title at ISSN and website must all match",
forms/application_forms.py:172,No,Enter the journal’s name,À propos de la revue
forms/application_forms.py:209,No,Alternative title (including translation of the title),
forms/application_forms.py:251,No,Link to the journal’s homepage,Lien vers la politique de la revue sur le plagiat
forms/application_forms.py:267,No,Enter the URL for the journal’s%(tag_start)s homepage%(tag_end)s,Saisissez l'URL où se trouvent les%(tag_start)s objectifs et la couverture%(tag_end)s de la revue
forms/application_forms.py:279,No,ISSN (print),
forms/application_forms.py:282; forms/application_forms.py:319; forms/application_forms.py:336; forms/application_forms.py:348; forms/application_forms.py:369; forms/application_forms.py:407; forms/application_forms.py:424; forms/application_forms.py:436,No,"Must be a valid ISSN, fully registered and confirmed at the %(link_start)s ISSN Portal%(link_end)s.",
forms/application_forms.py:286; forms/application_forms.py:373,No,Use the link under the ISSN you provided to check it.,
forms/application_forms.py:287; forms/application_forms.py:323; forms/application_forms.py:340; forms/application_forms.py:352; forms/application_forms.py:374; forms/application_forms.py:411; forms/application_forms.py:428; forms/application_forms.py:440,No,The ISSN must match what is given on the journal website.,
forms/application_forms.py:288,No,"For example, 2049-3630",
forms/application_forms.py:289; forms/application_forms.py:325; forms/application_forms.py:342; forms/application_forms.py:354; forms/application_forms.py:376; forms/application_forms.py:413; forms/application_forms.py:430; forms/application_forms.py:442,No,ISSN must be provided,Vous devez fournir une URL
forms/application_forms.py:293; forms/application_forms.py:308; forms/application_forms.py:380; forms/application_forms.py:396; forms/application_forms.py:449,No,You must provide%(tag_start)s one or both%(tag_end)s an online ISSN or a print ISSN,
forms/application_forms.py:295; forms/application_forms.py:310; forms/application_forms.py:382; forms/application_forms.py:398; forms/application_forms.py:451; forms/application_forms.py:1860; forms/application_forms.py:1889,No,This is not a valid ISSN,Ceci n'est pas un ISSN valide
forms/application_forms.py:296; forms/application_forms.py:312,No,This field must contain a different value to 'ISSN (online)',
forms/application_forms.py:366,No,ISSN (online),
forms/application_forms.py:375,No,"For example, 0378-5955",
forms/application_forms.py:384; forms/application_forms.py:400; forms/application_forms.py:453,No,This field must contain a different value to 'ISSN (print)',
forms/application_forms.py:462,No,Up to 6 subject keywords in English,
forms/application_forms.py:465,No,Choose up to 6 keywords that describe the journal's subject matter. Keywords must be in English.,
forms/application_forms.py:466,No,Use single words or short phrases (2 to 3 words) that describe the journal's main topic.,
forms/application_forms.py:468,No,"Do not add acronyms, abbreviations or descriptive sentences.",
forms/application_forms.py:469,No,Note that the keywords may be edited by DOAJ editorial staff.,
forms/application_forms.py:472,No,Enter at least%(tag_start)s one subject keyword%(tag_end)s in English,
forms/application_forms.py:494,No,Languages in which the journal accepts manuscripts,
forms/application_forms.py:503,No,Enter%(tag_start)s at least one%(tag_end)s language,Sélectionnez%(tag_start)s au moins une%(tag_end)s réponse
forms/application_forms.py:512,No,Type or select the language,
forms/application_forms.py:522,No,Publisher's name,Éditeur
forms/application_forms.py:525; forms/application_forms.py:550; forms/application_forms.py:559,No,Enter the name of the journal's publisher,Saisissez la ou les devises pour les frais de publication de la revue
forms/application_forms.py:534,No,Type or select the publisher's name,
forms/application_forms.py:552; forms/application_forms.py:561; forms/application_forms.py:641; forms/application_forms.py:647,No,The Publisher's name and Other organisation's name cannot be the same.,
forms/application_forms.py:588,No,Publisher's country,Éditeur
forms/application_forms.py:593,No,The country where the publisher carries out its business operations and is registered.,
forms/application_forms.py:594,No,You must provide a publisher country,Vous devez fournir une URL
forms/application_forms.py:595; forms/application_forms.py:688,No,Type or select the country,
forms/application_forms.py:599,No,Enter the%(tag_start)s country%(tag_end)s where the publisher carries out its business operations and is registered,
forms/application_forms.py:621,No,Other organisation's name,"Autre organisation, s’il y a lieu"
forms/application_forms.py:625,No,Any other organisation associated with the journal,
forms/application_forms.py:627,No,"The journal may be owned, funded, sponsored, or supported by another organisation that is not the publisher. If your journal is linked to a second organisation, enter its name here.",
forms/application_forms.py:630,No,Type or select the other organisation's name,
forms/application_forms.py:681,No,Other organisation's country,"Autre organisation, s’il y a lieu"
forms/application_forms.py:687,No,The country in which the other organisation is based,
forms/application_forms.py:700; forms/application_forms.py:711,No,'You must provide the other organization's name. You cannot provide just the country.,
forms/application_forms.py:725,No,License(s) permitted by the journal,
forms/application_forms.py:729; forms/application_forms.py:747,No,CC BY,
forms/application_forms.py:730; forms/application_forms.py:749,No,CC BY-SA,
forms/application_forms.py:731; forms/application_forms.py:751,No,CC BY-ND,
forms/application_forms.py:732; forms/application_forms.py:753,No,CC BY-NC,
forms/application_forms.py:733; forms/application_forms.py:755,No,CC BY-NC-SA,
forms/application_forms.py:734; forms/application_forms.py:757,No,CC BY-NC-ND,
forms/application_forms.py:735,No,CC0,
forms/application_forms.py:736,No,Public domain,Frais de publication
forms/application_forms.py:737; forms/application_forms.py:776,No,Publisher's own license,
forms/application_forms.py:741,No,The journal must use some form of licensing to be considered for indexing in DOAJ. ,
forms/application_forms.py:742,No,"If Creative Commons licensing is not used, then select%(tag_start)s Publisher's own license%(tag_end)s and enter more details below.",
forms/application_forms.py:745,No,More information on CC licenses: ,Informations pour les éditeurs
forms/application_forms.py:758,No,"%(link_start)s What is the difference between CC0 and the Public Domain Mark (\""PDM\"")? %(link_end)s",
forms/application_forms.py:761; forms/application_forms.py:785,No,Content must be licensed,
forms/application_forms.py:764,No,Select%(tag_start)s at least one%(tag_end)s type of license,Sélectionnez%(tag_start)s au moins une%(tag_end)s réponse
forms/application_forms.py:772,No,Select all the attributes that your license has,
forms/application_forms.py:779,No,Attribution,
forms/application_forms.py:780,No,Share Alike,
forms/application_forms.py:781,No,No Derivatives,
forms/application_forms.py:782,No,No Commercial Usage,
forms/application_forms.py:792; forms/application_forms.py:887; forms/application_forms.py:974; forms/application_forms.py:1042; forms/application_forms.py:1255; forms/application_forms.py:1305; forms/application_forms.py:1355; forms/application_forms.py:1479; forms/application_forms.py:1581,No,Where can we find this information?,Où se trouve cette information?
forms/application_forms.py:796,No,Enter the URL for the journal’s%(tag_start)s license terms%(tag_end)s page,Saisissez l'URL où se trouvent les%(tag_start)s objectifs et la couverture%(tag_start)s de la revue
forms/application_forms.py:801,No,Link to the page where the license terms are stated on your site.,
forms/application_forms.py:802,No,You must provide a link to your license terms,Vous devez fournir une URL
forms/application_forms.py:803,No,https://www.my-journal.com/about#licensing,
forms/application_forms.py:814,No,Does the journal embed and/or display licensing information in its articles?,
forms/application_forms.py:821,No,It is recommended that licensing information is included in full-text articles but it is not required for inclusion. Answer%(tag_start)s Yes%(tag_end)s if licensing is displayed or embedded in all versions of each article.,
forms/application_forms.py:828; forms/application_forms.py:871; forms/application_forms.py:1035; forms/application_forms.py:1166; forms/application_forms.py:1298; forms/application_forms.py:1348,No,Select Yes or No,Sélectionnez Oui ou Non
forms/application_forms.py:835,No,Recent article displaying or embedding a license in the full text,
forms/application_forms.py:848,No,Enter the URL for any recent article that displays or embeds a license,
